map_id,map_path,time_index,group,score_0_100,mean_r,mean_abs_r,n_features,features
tribe_activity_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_activity_fsaverage5.npy,0,attention,59.24063593875984,0.1848127187751968,0.2464886953295243,6,"attention, attentional, salience, orienting, target, visual attention"
tribe_activity_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_activity_fsaverage5.npy,0,action,55.61109193951893,0.11222183879037856,0.11184844864314598,5,"action, motor, movement, hand, execution"
tribe_activity_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_activity_fsaverage5.npy,0,language,52.1951650081399,0.04390330016279804,0.05746572476786245,5,"language, speech, semantic, comprehension, sentence"
tribe_activity_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_activity_fsaverage5.npy,0,memory,49.50995846204053,-0.00980083075918935,0.1417872310211727,7,"memory, encoding, recall, recognition, episodic, retrieval, familiarity"
tribe_activity_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_activity_fsaverage5.npy,0,social,47.49481607097773,-0.05010367858044545,0.21226392884316786,8,"social, mentalizing, self report, self referential, person, people, face, faces"
tribe_activity_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_activity_fsaverage5.npy,0,reward,44.56314470464972,-0.10873710590700555,0.18303998472246838,6,"reward, value, incentive, motivation, preference, reinforcement"
tribe_activity_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_activity_fsaverage5.npy,0,emotion,41.03487868045771,-0.17930242639084576,0.1782953609435864,8,"emotion regulation, emotional, affective, affect, arousal, valence, pleasant, unpleasant"
tribe_activity_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_activity_fsaverage5.npy,0,aversion,40.337074323537806,-0.1932585135292438,0.197748770391551,6,"fear, anxiety, pain, disgust, negative, aversive"
tribe_activity_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_activity_fsaverage5.npy,aggregate,attention,59.24063593875984,0.1848127187751968,0.2464886953295243,6,"attention, attentional, salience, orienting, target, visual attention"
tribe_activity_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_activity_fsaverage5.npy,aggregate,action,55.61109193951893,0.11222183879037856,0.11184844864314598,5,"action, motor, movement, hand, execution"
